locus	primary_accession	accession_version	isolate
QHQ71969	QHQ71969	QHQ71969.1	2019-nCoV/USA-CA1/2020
QHQ71968	QHQ71968	QHQ71968.1	2019-nCoV/USA-CA1/2020
QHQ71967	QHQ71967	QHQ71967.1	2019-nCoV/USA-CA1/2020
QHQ71966	QHQ71966	QHQ71966.1	2019-nCoV/USA-CA1/2020
QHQ71965	QHQ71965	QHQ71965.1	2019-nCoV/USA-CA1/2020
QHQ71964	QHQ71964	QHQ71964.1	2019-nCoV/USA-CA1/2020
QHQ71963	QHQ71963	QHQ71963.1	2019-nCoV/USA-CA1/2020
QHQ71962	QHQ71962	QHQ71962.1	2019-nCoV/USA-CA1/2020
QHO62885	QHO62885	QHO62885.1	2019-nCoV/USA-IL1/2020
QHO62884	QHO62884	QHO62884.1	2019-nCoV/USA-IL1/2020
QHO62883	QHO62883	QHO62883.1	2019-nCoV/USA-IL1/2020
QHO62882	QHO62882	QHO62882.1	2019-nCoV/USA-IL1/2020
QHO62881	QHO62881	QHO62881.1	2019-nCoV/USA-IL1/2020
QHO62880	QHO62880	QHO62880.1	2019-nCoV/USA-IL1/2020
QHO62879	QHO62879	QHO62879.1	2019-nCoV/USA-IL1/2020
QHO62878	QHO62878	QHO62878.1	2019-nCoV/USA-IL1/2020
QHO62877	QHO62877	QHO62877.1	2019-nCoV/USA-IL1/2020
QHO62876	QHO62876	QHO62876.1	2019-nCoV/USA-IL1/2020
QHO62115	QHO62115	QHO62115.1	2019-nCoV WHU02
QHO62114	QHO62114	QHO62114.1	2019-nCoV WHU02
QHO62113	QHO62113	QHO62113.1	2019-nCoV WHU02
QHO62112	QHO62112	QHO62112.1	2019-nCoV WHU02
QHO62111	QHO62111	QHO62111.1	2019-nCoV WHU02
QHO62110	QHO62110	QHO62110.1	2019-nCoV WHU01
QHO62109	QHO62109	QHO62109.1	2019-nCoV WHU01
QHO62108	QHO62108	QHO62108.1	2019-nCoV WHU01
QHO62107	QHO62107	QHO62107.1	2019-nCoV WHU01
QHO62106	QHO62106	QHO62106.1	2019-nCoV WHU01
QHO60603	QHO60603	QHO60603.1	2019-nCoV/USA-WA1/2020
QHO60602	QHO60602	QHO60602.1	2019-nCoV/USA-WA1/2020
QHO60601	QHO60601	QHO60601.1	2019-nCoV/USA-WA1/2020
QHO60600	QHO60600	QHO60600.1	2019-nCoV/USA-WA1/2020
QHO60599	QHO60599	QHO60599.1	2019-nCoV/USA-WA1/2020
QHO60598	QHO60598	QHO60598.1	2019-nCoV/USA-WA1/2020
QHO60597	QHO60597	QHO60597.1	2019-nCoV/USA-WA1/2020
QHO60596	QHO60596	QHO60596.1	2019-nCoV/USA-WA1/2020
QHO60595	QHO60595	QHO60595.1	2019-nCoV/USA-WA1/2020
QHO60594	QHO60594	QHO60594.1	2019-nCoV/USA-WA1/2020
QHN73824	QHN73824	QHN73824.1	2019-nCoV_HKU-SZ-007c_2020
QHN73823	QHN73823	QHN73823.1	2019-nCoV_HKU-SZ-007b_2020
QHN73822	QHN73822	QHN73822.1	2019-nCoV_HKU-SZ-007a_2020
QHN73821	QHN73821	QHN73821.1	2019-nCoV_HKU-SZ-007c_2020
QHN73820	QHN73820	QHN73820.1	2019-nCoV_HKU-SZ-007b_2020
QHN73819	QHN73819	QHN73819.1	2019-nCoV_HKU-SZ-007a_2020
QHN73818	QHN73818	QHN73818.1	2019-nCoV_HKU-SZ-005b_2020
QHN73817	QHN73817	QHN73817.1	2019-nCoV_HKU-SZ-005b_2020
QHN73816	QHN73816	QHN73816.1	2019-nCoV_HKU-SZ-005b_2020
QHN73815	QHN73815	QHN73815.1	2019-nCoV_HKU-SZ-005b_2020
QHN73814	QHN73814	QHN73814.1	2019-nCoV_HKU-SZ-005b_2020
QHN73813	QHN73813	QHN73813.1	2019-nCoV_HKU-SZ-005b_2020
QHN73812	QHN73812	QHN73812.1	2019-nCoV_HKU-SZ-005b_2020
QHN73811	QHN73811	QHN73811.1	2019-nCoV_HKU-SZ-005b_2020
QHN73810	QHN73810	QHN73810.1	2019-nCoV_HKU-SZ-005b_2020
QHN73809	QHN73809	QHN73809.1	2019-nCoV_HKU-SZ-005b_2020
QHN73808	QHN73808	QHN73808.1	2019-nCoV_HKU-SZ-005_2020
QHN73807	QHN73807	QHN73807.1	2019-nCoV_HKU-SZ-004_2020
QHN73806	QHN73806	QHN73806.1	2019-nCoV_HKU-SZ-002b_2020
QHN73805	QHN73805	QHN73805.1	2019-nCoV_HKU-SZ-001_2020
QHN73804	QHN73804	QHN73804.1	2019-nCoV_HKU-SZ-004_2020
QHN73803	QHN73803	QHN73803.1	2019-nCoV_HKU-SZ-001_2020
QHN73802	QHN73802	QHN73802.1	2019-nCoV_HKU-SZ-002a_2020
QHN73801	QHN73801	QHN73801.1	2019-nCoV_HKU-SZ-002a_2020
QHN73800	QHN73800	QHN73800.1	2019-nCoV_HKU-SZ-002a_2020
QHN73799	QHN73799	QHN73799.1	2019-nCoV_HKU-SZ-002a_2020
QHN73798	QHN73798	QHN73798.1	2019-nCoV_HKU-SZ-002a_2020
QHN73797	QHN73797	QHN73797.1	2019-nCoV_HKU-SZ-002a_2020
QHN73796	QHN73796	QHN73796.1	2019-nCoV_HKU-SZ-002a_2020
QHN73795	QHN73795	QHN73795.1	2019-nCoV_HKU-SZ-002a_2020
QHN73794	QHN73794	QHN73794.1	2019-nCoV_HKU-SZ-002a_2020
QHN69983	QHN69983	QHN69983.1	SI200121-SP
QHN69982	QHN69982	QHN69982.1	SI200040-SP
QHI42199	QHI42199	QHI42199.1	Wuhan-Hu-1
QHD43423	QHD43423	QHD43423.2	Wuhan-Hu-1
QHD43422	QHD43422	QHD43422.1	Wuhan-Hu-1
QHD43421	QHD43421	QHD43421.1	Wuhan-Hu-1
QHD43420	QHD43420	QHD43420.1	Wuhan-Hu-1
QHD43419	QHD43419	QHD43419.1	Wuhan-Hu-1
QHD43418	QHD43418	QHD43418.1	Wuhan-Hu-1
QHD43417	QHD43417	QHD43417.1	Wuhan-Hu-1
QHD43416	QHD43416	QHD43416.1	Wuhan-Hu-1
QHD43415	QHD43415	QHD43415.1	Wuhan-Hu-1
YP_009725312	YP_009725312	YP_009725312.1	Wuhan-Hu-1
YP_009725311	YP_009725311	YP_009725311.1	Wuhan-Hu-1
YP_009725310	YP_009725310	YP_009725310.1	Wuhan-Hu-1
YP_009725309	YP_009725309	YP_009725309.1	Wuhan-Hu-1
YP_009725308	YP_009725308	YP_009725308.1	Wuhan-Hu-1
YP_009725307	YP_009725307	YP_009725307.1	Wuhan-Hu-1
YP_009725306	YP_009725306	YP_009725306.1	Wuhan-Hu-1
YP_009725305	YP_009725305	YP_009725305.1	Wuhan-Hu-1
YP_009725304	YP_009725304	YP_009725304.1	Wuhan-Hu-1
YP_009725303	YP_009725303	YP_009725303.1	Wuhan-Hu-1
YP_009725302	YP_009725302	YP_009725302.1	Wuhan-Hu-1
YP_009725301	YP_009725301	YP_009725301.1	Wuhan-Hu-1
YP_009725300	YP_009725300	YP_009725300.1	Wuhan-Hu-1
YP_009725299	YP_009725299	YP_009725299.1	Wuhan-Hu-1
YP_009725298	YP_009725298	YP_009725298.1	Wuhan-Hu-1
YP_009725297	YP_009725297	YP_009725297.1	Wuhan-Hu-1
YP_009725296	YP_009725296	YP_009725296.1	Wuhan-Hu-1
YP_009725295	YP_009725295	YP_009725295.1	Wuhan-Hu-1
YP_009725255	YP_009725255	YP_009725255.1	Wuhan-Hu-1
YP_009724397	YP_009724397	YP_009724397.2	Wuhan-Hu-1
YP_009724396	YP_009724396	YP_009724396.1	Wuhan-Hu-1
YP_009724395	YP_009724395	YP_009724395.1	Wuhan-Hu-1
YP_009724394	YP_009724394	YP_009724394.1	Wuhan-Hu-1
YP_009724393	YP_009724393	YP_009724393.1	Wuhan-Hu-1
YP_009724392	YP_009724392	YP_009724392.1	Wuhan-Hu-1
YP_009724391	YP_009724391	YP_009724391.1	Wuhan-Hu-1
YP_009724390	YP_009724390	YP_009724390.1	Wuhan-Hu-1
YP_009724389	YP_009724389	YP_009724389.1	Wuhan-Hu-1
