locus	primary_accession	accession_version	isolate
QIA20052	QIA20052	QIA20052.1	SARS-CoV-2/Yunnan-01/human/2020/CHN
QIA20051	QIA20051	QIA20051.1	SARS-CoV-2/Yunnan-01/human/2020/CHN
QIA20050	QIA20050	QIA20050.1	SARS-CoV-2/Yunnan-01/human/2020/CHN
QIA20049	QIA20049	QIA20049.1	SARS-CoV-2/Yunnan-01/human/2020/CHN
QIA20048	QIA20048	QIA20048.1	SARS-CoV-2/Yunnan-01/human/2020/CHN
QIA20047	QIA20047	QIA20047.1	SARS-CoV-2/Yunnan-01/human/2020/CHN
QIA20046	QIA20046	QIA20046.1	SARS-CoV-2/Yunnan-01/human/2020/CHN
QIA20045	QIA20045	QIA20045.1	SARS-CoV-2/Yunnan-01/human/2020/CHN
QIA20044	QIA20044	QIA20044.1	SARS-CoV-2/Yunnan-01/human/2020/CHN
QIA20043	QIA20043	QIA20043.1	SARS-CoV-2/Yunnan-01/human/2020/CHN
QIA20042	QIA20042	QIA20042.1	SARS-CoV-2/Yunnan-01/human/2020/CHN
QHZ87600	QHZ87600	QHZ87600.1	2019-nCoV/USA-CA6/2020
QHZ87599	QHZ87599	QHZ87599.1	2019-nCoV/USA-CA6/2020
QHZ87598	QHZ87598	QHZ87598.1	2019-nCoV/USA-CA6/2020
QHZ87597	QHZ87597	QHZ87597.1	2019-nCoV/USA-CA6/2020
QHZ87596	QHZ87596	QHZ87596.1	2019-nCoV/USA-CA6/2020
QHZ87595	QHZ87595	QHZ87595.1	2019-nCoV/USA-CA6/2020
QHZ87594	QHZ87594	QHZ87594.1	2019-nCoV/USA-CA6/2020
QHZ87593	QHZ87593	QHZ87593.1	2019-nCoV/USA-CA6/2020
QHZ87592	QHZ87592	QHZ87592.1	2019-nCoV/USA-CA6/2020
QHZ87591	QHZ87591	QHZ87591.1	2019-nCoV/USA-CA6/2020
QHZ87590	QHZ87590	QHZ87590.1	2019-nCoV/USA-IL2/2020
QHZ87589	QHZ87589	QHZ87589.1	2019-nCoV/USA-IL2/2020
QHZ87588	QHZ87588	QHZ87588.1	2019-nCoV/USA-IL2/2020
QHZ87587	QHZ87587	QHZ87587.1	2019-nCoV/USA-IL2/2020
QHZ87586	QHZ87586	QHZ87586.1	2019-nCoV/USA-IL2/2020
QHZ87585	QHZ87585	QHZ87585.1	2019-nCoV/USA-IL2/2020
QHZ87584	QHZ87584	QHZ87584.1	2019-nCoV/USA-IL2/2020
